sciName,comName,speciesCode
Ptilinopus perousii,Many-colored Fruit-Dove,mcfdov1
Ptilinopus ponapensis,Purple-capped Fruit-Dove,pucfrd1
Ptilinopus hernsheimi,Kosrae Fruit-Dove,kosfrd1
Ptilinopus porphyraceus,Crimson-crowned Fruit-Dove,ccfdov1
Ptilinopus porphyraceus porphyraceus,Crimson-crowned Fruit-Dove (Tongan),crcfrd1
Ptilinopus porphyraceus fasciatus,Crimson-crowned Fruit-Dove (Samoan),crcfrd2
Ptilinopus pelewensis,Palau Fruit-Dove,pafdov1
Ptilinopus rarotongensis,Cook Islands Fruit-Dove,cifdov1
Ptilinopus roseicapilla,Mariana Fruit-Dove,mafdov2
Ptilinopus regina,Rose-crowned Fruit-Dove,rcfdov1
Ptilinopus regina xanthogaster/roseipileum,Rose-crowned Fruit-Dove (Gray-crowned),rocfrd6
Ptilinopus regina [regina Group],Rose-crowned Fruit-Dove (Rosy-crowned),rocfrd7
Ptilinopus richardsii,Silver-capped Fruit-Dove,scfdov1
Ptilinopus chrysogaster,Raiatea Fruit-Dove,gygfrd2
Ptilinopus purpuratus,Gray-green Fruit-Dove,gygfrd1
Ptilinopus chalcurus,Makatea Fruit-Dove,mafdov1
Ptilinopus coralensis,Atoll Fruit-Dove,atfdov1
Ptilinopus greyi,Red-bellied Fruit-Dove,rbfdov1
Ptilinopus huttoni,Rapa Fruit-Dove,rafdov1
Ptilinopus dupetithouarsii,White-capped Fruit-Dove,wcfdov1
Ptilinopus mercierii,Red-moustached Fruit-Dove,rmfdov1
Ptilinopus insularis,Henderson Island Fruit-Dove,hifdov1
Ptilinopus coronulatus,Coroneted Fruit-Dove,cofdov1
Ptilinopus pulchellus,Beautiful Fruit-Dove,befdov1
Ptilinopus monacha,Blue-capped Fruit-Dove,bcfdov2
Ptilinopus rivoli,White-breasted Fruit-Dove,whbfrd1
Ptilinopus rivoli prasinorrhous,White-breasted Fruit-Dove (Moluccan),whbfrd2
Ptilinopus rivoli bellus,White-breasted Fruit-Dove (Mountain),whbfrd3
Ptilinopus rivoli [rivoli Group],White-breasted Fruit-Dove (White-bibbed),whbfrd7
Ptilinopus speciosus,Geelvink Fruit-Dove,yebfrd1
Ptilinopus solomonensis,Yellow-bibbed Fruit-Dove,yebfrd2
Ptilinopus viridis,Claret-breasted Fruit-Dove,cbfdov1
Ptilinopus eugeniae,White-headed Fruit-Dove,whfdov2
Ptilinopus iozonus,Orange-bellied Fruit-Dove,obfdov1
Ptilinopus insolitus,Knob-billed Fruit-Dove,kbfdov1
Ptilinopus hyogastrus,Gray-headed Fruit-Dove,gyhfrd1
